term_PT,term_HLT,term_HLGT,term_SOC
lipase urine increased,digestive enzymes,gastrointestinal investigations,investigations
vasopressin challenge test abnormal,renal function analyses,renal and urinary tract investigations and urinalyses,investigations
joint range of motion decreased,joint related signs and symptoms,joint disorders,musculoskeletal and connective tissue disorders
tuberculin test,mycobacteria identification and serology,microbiology and serology investigations,investigations
diffuse large b-cell lymphoma stage iv,diffuse large b-cell lymphomas,lymphomas non-hodgkin's b-cell,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
punctate keratosis,hyperkeratoses,cornification and dystrophic skin disorders,skin and subcutaneous tissue disorders
asynclitic presentation,foetal position and presentation abnormalities,foetal complications,"pregnancy, puerperium and perinatal conditions"
biopsy tongue abnormal,gastrointestinal histopathology procedures,gastrointestinal investigations,investigations
flank pain,musculoskeletal and connective tissue pain and discomfort,musculoskeletal and connective tissue disorders nec,musculoskeletal and connective tissue disorders
limb operation,limb therapeutic procedures,bone and joint therapeutic procedures,surgical and medical procedures
acinar cell carcinoma of pancreas,pancreatic neoplasms malignant (excl islet cell and carcinoid),gastrointestinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
product administered at inappropriate site,product administration errors and issues,medication errors and other product use errors and issues,"injury, poisoning and procedural complications"
glycosuria,urinary abnormalities,urinary tract signs and symptoms,renal and urinary disorders
phaeochromocytoma malignant,islet cell neoplasms and apudoma nec,endocrine neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
injected limb mobility decreased,injection site reactions,administration site reactions,general disorders and administration site conditions
preduodenal portal vein,venous disorders congenital,cardiac and vascular disorders congenital,"congenital, familial and genetic disorders"
intestinal varices haemorrhage,intestinal haemorrhages,gastrointestinal haemorrhages nec,gastrointestinal disorders
priapism,erection and ejaculation conditions and disorders,sexual function and fertility disorders,reproductive system and breast disorders
bladder transitional cell carcinoma stage ii,bladder neoplasms malignant,renal and urinary tract neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
biopsy trachea abnormal,respiratory tract and thoracic histopathology procedures,respiratory and pulmonary investigations (excl blood gases),investigations
puncture site abscess,infections nec,infections - pathogen unspecified,infections and infestations
ligament laxity,joint related disorders nec,joint disorders,musculoskeletal and connective tissue disorders
anti factor x activity increased,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
creatine urine,renal function analyses,renal and urinary tract investigations and urinalyses,investigations
medical device site odour,complications associated with device nec,complications associated with device,general disorders and administration site conditions
micropenis,male reproductive tract disorders congenital,reproductive tract and breast disorders congenital,"congenital, familial and genetic disorders"
arterial intramural haematoma,aneurysms and dissections non-site specific,aneurysms and artery dissections,vascular disorders
paraovarian cystectomy,ovarian therapeutic procedures,obstetric and gynaecological therapeutic procedures,surgical and medical procedures
asymmetric di-methylarginine increased,protein analyses nec,protein and chemistry analyses nec,investigations
malignant melanoma stage i,skin melanomas (excl ocular),skin neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
serum ferritin abnormal,mineral and electrolyte analyses,"water, electrolyte and mineral investigations",investigations
corrected transposition of great vessels,great vessel disorders congenital,cardiac and vascular disorders congenital,"congenital, familial and genetic disorders"
cholangitis chronic,bile duct infections and inflammations,bile duct disorders,hepatobiliary disorders
hypnagogic hallucination,narcolepsy and associated conditions,sleep disorders and disturbances,psychiatric disorders
atypical fibroxanthoma,skin neoplasms malignant and unspecified (excl melanoma),skin neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
multiple-drug resistance,therapeutic and nontherapeutic responses,therapeutic and nontherapeutic effects (excl toxicity),general disorders and administration site conditions
autoimmune retinopathy,retinopathies nec,"retina, choroid and vitreous haemorrhages and vascular disorders",eye disorders
pneumonia,lower respiratory tract and lung infections,infections - pathogen unspecified,infections and infestations
arterial compression therapy,arterial therapeutic procedures (excl aortic),vascular therapeutic procedures,surgical and medical procedures
dermatitis acneiform,acnes,skin appendage conditions,skin and subcutaneous tissue disorders
bone contusion,non-site specific injuries nec,injuries nec,"injury, poisoning and procedural complications"
vascular neoplasm,cardiovascular neoplasms malignant and unspecified,miscellaneous and site unspecified neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
keratoconus,"corneal structural change, deposit and degeneration","anterior eye structural change, deposit and degeneration",eye disorders
vitreous abscess,eye and eyelid infections,infections - pathogen unspecified,infections and infestations
vaginal perforation,vulvovaginal disorders nec,vulvovaginal disorders (excl infections and inflammations),reproductive system and breast disorders
gastrointestinal stenosis,gastrointestinal stenosis and obstruction nec,gastrointestinal stenosis and obstruction,gastrointestinal disorders
reactive capillary endothelial proliferation,immune and associated conditions nec,immune disorders nec,immune system disorders
erythroblast count increased,red blood cell analyses,haematology investigations (incl blood groups),investigations
galactose urine,carbohydrate tolerance analyses (incl diabetes),"metabolic, nutritional and blood gas investigations",investigations
