ENG,term_HLT,term_HLGT,term_SOC
Aneurysm perforation,Cardiac and vascular procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Renal graft infection,Urinary tract infections,Infections - pathogen unspecified,Infections and infestations
Paracentesis ear abnormal,Ear and labyrinth histopathology procedures,"Neurological, special senses and psychiatric investigations",Investigations
Angiomyofibroblastoma,Soft tissue neoplasms benign NEC,Soft tissue neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Adjustment disorder with depressed mood,Adjustment disorders,Adjustment disorders (incl subtypes),Psychiatric disorders
Proctoplasty,Anorectal therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures
CSF leukocyte/erythrocyte ratio increased,Cerebrospinal fluid tests (excl microbiology),"Neurological, special senses and psychiatric investigations",Investigations
Echoencephalogram,Central nervous system imaging procedures,"Neurological, special senses and psychiatric investigations",Investigations
Porphyromonas infection,Porphyromonas infections,Bacterial infectious disorders,Infections and infestations
Vulval cancer stage I,Vulval neoplasms malignant,Reproductive neoplasms female malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Polyhydramnios,Amniotic fluid and cavity disorders of pregnancy NEC,"Placental, amniotic and cavity disorders (excl haemorrhages)","Pregnancy, puerperium and perinatal conditions"
Vaginal cancer stage I,Vaginal neoplasms malignant,Reproductive neoplasms female malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Cervical auricle,"Musculoskeletal and connective tissue disorders of face, neck and jaw congenital",Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Allergic bronchopulmonary mycosis,Fungal infections NEC,Fungal infectious disorders,Infections and infestations
Naprapathy,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Laryngeal keratotic plaque,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),"Respiratory, thoracic and mediastinal disorders"
Eosinophilic myocarditis,Noninfectious myocarditis,Myocardial disorders,Cardiac disorders
Intercepted product storage error,Product storage errors and issues in the product use system,Medication errors and other product use errors and issues,"Injury, poisoning and procedural complications"
X-ray dental,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Investigations
Activated partial thromboplastin time ratio increased,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
PCO2 increased,Blood gas and acid base analyses,"Metabolic, nutritional and blood gas investigations",Investigations
Pneumonia proteus,Proteus infections,Bacterial infectious disorders,Infections and infestations
Spinal claudication,Spinal cord and nerve root disorders NEC,Spinal cord and nerve root disorders,Nervous system disorders
Neonatal sinus bradycardia,Supraventricular arrhythmias,Cardiac arrhythmias,Cardiac disorders
Pinealoma,Pineal neoplasms,Nervous system neoplasms malignant and unspecified NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Acquired C1 inhibitor deficiency,Angioedemas,Angioedema and urticaria,Skin and subcutaneous tissue disorders
Pneumonia measles,Rubeola viral infections,Viral infectious disorders,Infections and infestations
Cerebral venous sinus thrombosis,Cerebrovascular venous and sinus thrombosis,Central nervous system vascular disorders,Nervous system disorders
Exposed bone in jaw,Bone disorders NEC,Bone disorders (excl congenital and fractures),Musculoskeletal and connective tissue disorders
Non-Hodgkin's lymphoma unspecified histology aggressive stage IV,Non-Hodgkin's lymphomas unspecified histology aggressive,Lymphomas non-Hodgkin's unspecified histology,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Blood creatine phosphokinase BB,Skeletal and cardiac muscle analyses,Enzyme investigations NEC,Investigations
Thymic cancer metastatic,Mediastinal neoplasms malignant,Respiratory and mediastinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Vaccination site ischaemia,Vaccination site reactions,Administration site reactions,General disorders and administration site conditions
Leukaemia,Leukaemias NEC,Leukaemias,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Multiple sclerosis relapse prophylaxis,Nervous system therapeutic procedures NEC,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
Bone prosthesis insertion,Bone therapeutic procedures NEC,Bone and joint therapeutic procedures,Surgical and medical procedures
Lymph node fibrosis,Lymphatic system disorders NEC,"Spleen, lymphatic and reticuloendothelial system disorders",Blood and lymphatic system disorders
Urticaria contact,Urticarias,Angioedema and urticaria,Skin and subcutaneous tissue disorders
Product complaint,Product quality issues NEC,"Product quality, supply, distribution, manufacturing and quality system issues",Product issues
Product leakage,Product physical issues,"Product quality, supply, distribution, manufacturing and quality system issues",Product issues
Hydrocholecystis,Gallbladder disorders NEC,Gallbladder disorders,Hepatobiliary disorders
Antifungal treatment,Antiinfective therapies,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Neonatal tachypnoea,Newborn respiratory disorders NEC,Neonatal respiratory disorders,"Respiratory, thoracic and mediastinal disorders"
Phoniatric rehabilitation,Laryngeal therapeutic procedures,Head and neck therapeutic procedures,Surgical and medical procedures
Oestrogen replacement therapy,Hormonal therapeutic procedures NEC,Endocrine gland therapeutic procedures,Surgical and medical procedures
Plasma cell mastitis,Breast infections and inflammations,Breast disorders,Reproductive system and breast disorders
Gastrointestinal stoma output abnormal,Gastrointestinal function diagnostic procedures,Gastrointestinal investigations,Investigations
Paresis cranial nerve,Cranial nerve disorders NEC,Cranial nerve disorders (excl neoplasms),Nervous system disorders
Keratosis gonococcal,Neisseria infections,Bacterial infectious disorders,Infections and infestations
Glossopharyngeal neuralgia,Glossopharyngeal nerve disorders,Cranial nerve disorders (excl neoplasms),Nervous system disorders
C-kit gene status assay,Gene analyses,Cytogenetic investigations,Investigations
Gravitational oedema,Oedema NEC,General system disorders NEC,General disorders and administration site conditions
Reaction to food additive,"Allergies to foods, food additives, drugs and other chemicals",Allergic conditions,Immune system disorders
Sarcopenic obesity,General nutritional disorders NEC,Appetite and general nutritional disorders,Metabolism and nutrition disorders
Dysuria,Bladder and urethral symptoms,Urinary tract signs and symptoms,Renal and urinary disorders
Subclavian artery embolism,Peripheral embolism and thrombosis,Embolism and thrombosis,Vascular disorders
Abdominal hernia repair,Hernia repairs,Gastrointestinal therapeutic procedures,Surgical and medical procedures
Galactography,Reproductive organ and breast imaging procedures,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Hernia pain,Pain and discomfort NEC,General system disorders NEC,General disorders and administration site conditions
Electrophoresis protein,Protein analyses NEC,Protein and chemistry analyses NEC,Investigations
Platelet adhesiveness increased,Platelet analyses,Haematology investigations (incl blood groups),Investigations
Failure to thrive,General nutritional disorders NEC,Appetite and general nutritional disorders,Metabolism and nutrition disorders
Gardnerella test positive,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Investigations
Appendix disorder,Gastrointestinal disorders NEC,Gastrointestinal conditions NEC,Gastrointestinal disorders
Electrocardiogram low voltage,ECG investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations
Aeromonas test positive,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Investigations
Uterine polyp,Uterine neoplasms,"Uterine, pelvic and broad ligament disorders",Reproductive system and breast disorders
Urine cortisol/creatinine ratio increased,Adrenal cortex tests,Endocrine investigations (incl sex hormones),Investigations
Peak nasal inspiratory flow normal,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Investigations
Stool analysis,Faecal analyses NEC,Gastrointestinal investigations,Investigations
Allescheriosis,Allescheria infections,Fungal infectious disorders,Infections and infestations
Sensing amplitude decreased,Device electrical issues,Device issues,Product issues
Lupus myocarditis,Noninfectious myocarditis,Myocardial disorders,Cardiac disorders
Drug eruption,Dermatitis ascribed to specific agent,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Suture related complication,Non-site specific procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Premature labour,Labour onset and length abnormalities,Maternal complications of labour and delivery,"Pregnancy, puerperium and perinatal conditions"
Superior mesenteric artery syndrome,Duodenal and small intestinal stenosis and obstruction,Gastrointestinal stenosis and obstruction,Gastrointestinal disorders
Stoma site thrombosis,Stoma complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Oropharyngeal stenosis,Respiratory tract and thoracic cavity procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Lesion excision,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
