,LLT,PT
44600,peridiverticulitis,diverticulitis
44601,angiotensin ii low,angiotensin ii decreased
44602,motor dysfunction nos,motor dysfunction
44603,abdominal wall bleeding,abdominal wall haemorrhage
44604,secondary haemochromatosis,haemochromatosis
44605,late diastolic murmur,cardiac murmur
44606,iron,blood iron
44607,thyroglobulin antibody decreased,anti-thyroid antibody decreased
44608,capsuloplasty,joint arthroplasty
44609,membranoproliferative glomerulonephritis,glomerulonephritis membranoproliferative
44610,vitreomacular adhesion,vitreous adhesions
44611,secondary hypogenitalism,secondary hypogonadism
44612,t7-t12 level with complete lesion of spinal cord,spinal cord injury thoracic
44613,computerized tomogram breast abnormal,computerised tomogram breast abnormal
44614,poisoning by cardiac rhythm regulators,toxicity to various agents
44615,intramuscular lipoma,lipoma
44616,nail bed infection fungal,onychomycosis
44617,aseptic necrosis of head and neck of femur,osteonecrosis
44618,arteriopathy,arterial disorder
44619,immune system disorder nos,immune system disorder
44620,senile presbyacusis,presbyacusis
44621,talipes equinovarus,talipes
44622,cancer of liver resectable,hepatic cancer
44623,csf measles nos antibody negative,csf measles antibody negative
44624,neurologist consultation,specialist consultation
44625,focal glomerulosclerosis,focal segmental glomerulosclerosis
44626,cowden syndrome,cowden's disease
44627,hemoglobin lepore trait,haemoglobin lepore trait
44628,blood carbon dioxide increased,carbon dioxide increased
44629,fulminant wilson's disease,hepato-lenticular degeneration
44630,metastases to peripheral vasculature,metastases to peripheral vascular system
44631,bags under eyes,periorbital swelling
44632,swift-feer disease,acrodynia
44633,minimal change disease,glomerulonephritis minimal lesion
44634,specific phobia,phobia
44635,psychogenic fugue,dissociative amnesia
44636,rotator cuff injury,rotator cuff syndrome
44637,endometrium cystic,endometrial disorder
44638,malignant hemangiopericytoma recurrent,malignant haemangiopericytoma recurrent
44639,hemodynamometry,blood pressure measurement
44640,hair aluminium normal,hair metal test normal
44641,mastoid ecchymosis,battle's sign
44642,tympanic membrane disorder nos,tympanic membrane disorder
44643,salpingitis nos,salpingitis
44644,raised co2 tension,pco2 increased
44645,malignant neoplasm of nasopharynx recurrent,nasopharyngeal cancer recurrent
44646,heart enlarged,cardiomegaly
44647,lichen myxedematosus,lichen myxoedematosus
44648,schizophrenic psychoses,schizophrenia
44649,dengue fever immunization,dengue fever immunisation
44650,eyelid scaly,eyelid exfoliation
44651,ugt1a1*28 allele homozygote,ugt1a1 gene polymorphism
44652,arrhythmia atrial (nos),arrhythmia supraventricular
44653,umbilical cord bleeding,umbilical cord haemorrhage
44654,gdu,gastroduodenal ulcer
44655,acquired night blindness,night blindness
44656,atherosclerotic plaque,arteriosclerosis
44657,ligation of oesophageal varices,oesophageal variceal ligation
44658,complete blood count abnormal nos,full blood count abnormal
44659,adrenal hematoma,adrenal haematoma
44660,peripheral primitive neuroectodermal bone tumor,peripheral primitive neuroectodermal bone tumour
44661,sa block,sinoatrial block
44662,myopic choroidopathy,myopic chorioretinal degeneration
44663,ischemic feet,peripheral ischaemia
44664,foetal heartbeat absent,foetal heart rate abnormal
44665,meningoencephalitis due to toxoplasmosis,cerebral toxoplasmosis
44666,hernia inguinal,inguinal hernia
44667,drug administered to patient of inappropriate age,product administered to patient of inappropriate age
44668,compulsive conduct disorder,obsessive-compulsive disorder
44669,occlusion coronary,coronary artery occlusion
44670,nonspecific positive culture findings,culture positive
44671,endocervical squamous metaplasia,uterine cervical metaplasia
44672,cxr,chest x-ray
44673,hemophilia b (factor ix),factor ix deficiency
44674,inspiratory capacity high,inspiratory capacity increased
44675,gallstones in bile duct removal,choledocholithotomy
44676,specific reading retardation,reading disorder
44677,"hereditary hemolytic anemia, unspecified",hereditary haemolytic anaemia
44678,complicated lower urinary tract infection,urinary tract infection
44679,alternobaric vertigo,vertigo
44680,binocular diplopia,diplopia
44681,pulmonary arterial systolic pressure,pulmonary arterial pressure
44682,rotavirus neutralising antibody positive,rotavirus test positive
44683,laryngeal biopsy normal,biopsy larynx normal
44684,skin biopsy abnormal,biopsy skin abnormal
44685,hypertonicity blood,blood osmolarity increased
44686,abnormal orgasm (male),male orgasmic disorder
44687,arterial stenosis nos,arterial stenosis
44688,mycosis fungoides involving lymph nodes of axilla and upper limb,cutaneous t-cell lymphoma stage iv
44689,conjunctivitis necrotic,conjunctivitis
44690,heart valve disorders,cardiac valve disease
44691,hyperactive airway disease,bronchial hyperreactivity
44692,x-ray of zygomaticomaxillary complex normal,face and mouth x-ray normal
44693,arteriovenous shunt thrombosis,shunt thrombosis
44694,infected hidradenitis,sweat gland infection
44695,renal agenesis,renal aplasia
44696,gamma nail fixation,internal fixation of fracture
44697,muscle injury nos,muscle injury
44698,adnexitis,salpingo-oophoritis
44699,irradiation cystitis,cystitis radiation
44700,localized muscle weakness,muscular weakness
44701,electrocorticography,electrocorticogram
44702,blood transfusion,transfusion
44703,cerebral volume loss,cerebral atrophy
44704,chronic hepatitis c genotype 5,chronic hepatitis c
44705,"cyst of kidney, acquired",renal cyst
44706,gastroesophageal hernia,hiatus hernia
44707,oesophageal scarring,oesophageal stenosis
44708,cytotoxic cardiomyopathy,toxic cardiomyopathy
44709,uterus caesium therapy,gamma radiation therapy to uterus
44710,burn dressing change,burn dressing
44711,nevus bleeding,naevus haemorrhage
44712,reticuloendothelial hyperplasia,reticuloendothelial system stimulated
44713,involuntary movement oral (circumoral),dyskinesia
44714,meckel's diverticulitis,diverticulitis meckel's
44715,rubeola antibody positive,measles antibody positive
44716,carcinoma bronchiogenic in situ,lung carcinoma cell type unspecified stage 0
44717,corneal herpes,herpes ophthalmic
44718,oedema labial genital,oedema genital
44719,alveolar border of body of mandible closed fracture,jaw fracture
44720,malignant neoplasm of bladder stage iv,bladder cancer stage iv
44721,attempted suicide,suicide attempt
44722,tumor rupture,tumour rupture
44723,bowel ischaemia,intestinal ischaemia
44724,palatal erythema,oral mucosal erythema
44725,peptic ulcer perforated,peptic ulcer perforation
44726,hemoglobin urine positive,haemoglobin urine present
44727,burkholderia multivorans infection,burkholderia cepacia complex infection
44728,necrosis of bronchioli,necrotising bronchiolitis
44729,penile boil,penile abscess
44730,carotid thrombosis,carotid artery thrombosis
44731,takayasu's disease,takayasu's arteritis
44732,superficial spreading melanoma,superficial spreading melanoma stage unspecified
44733,body fluid retention,fluid retention
44734,traumatic intracranial bleeding,traumatic intracranial haemorrhage
44735,cranial arteritis,giant cell arteritis
44736,papyraceous fetus,abortion missed
44737,wound bleeding,wound haemorrhage
44738,urinary tract injury nos,urinary tract injury
44739,urine tyrosine increased,amino acid level increased
44740,abortion induced incomplete nos,abortion induced incomplete
44741,"intermittent heterotropia, unspecified",strabismus
44742,limp hair,hair texture abnormal
44743,alkaline phosphatase normal,blood alkaline phosphatase normal
44744,carcinoma colon stage i,colon cancer stage i
44745,upper gi tract x-ray normal,x-ray gastrointestinal tract normal
44746,double renal pelvis,kidney duplex
44747,necrosis bowel,gastrointestinal necrosis
44748,pulse irregular,heart rate irregular
44749,edrophonium chloride test abnormal,tensilon test abnormal
44750,chemotherapeutic drug level nos below therapeutic,chemotherapeutic drug level below therapeutic
44751,tricyclic antidepressant level,antidepressant drug level
44752,blood haemopexin decreased,haemopexin decreased
44753,scintigraphy,radioisotope scan
44754,intravenous catheter management,catheter management
44755,anemia,anaemia
44756,edema legs,oedema peripheral
44757,paracentesis nos,paracentesis
44758,asphyxia imminens of newborn,neonatal asphyxia
44759,sluggish thinking,bradyphrenia
44760,blood monocytes decreased,monocyte count decreased
44761,oestrogens total urine low,oestrogens total urine decreased
44762,hidrocystoma,sweat gland tumour
44763,arthropathy involving forearm associated with helminthiasis,arthritis helminthic
44764,"duodenal ulcer, acute with hemorrhage",duodenal ulcer haemorrhage
44765,pain in fingers,pain in extremity
44766,genital oedema male,oedema genital
44767,obstruction bronchial,bronchial obstruction
44768,bacterial infection due to clostridium perfringens,clostridial infection
44769,"oligohydramnios, unspecified as to episode of care",oligohydramnios
44770,acute laryngotracheitis with obstruction,laryngotracheitis obstructive
44771,oesophageal adenocarcinoma middle third stage 0,oesophageal adenocarcinoma stage 0
44772,infectious disease inapparent,infection masked
44773,mucous retention cyst,retention cyst
44774,"unspecified miliary tuberculosis, confirmed by animal inoculation",disseminated tuberculosis
44775,atrial flutter with 1:1 atrioventricular conduction,atrial flutter
44776,muscle tone decreased,hypotonia
44777,grasping reflex,primitive reflex test
44778,helicobacter gastroduodenitis,helicobacter gastritis
44779,tri-iodothyronine low,tri-iodothyronine decreased
44780,female circumcision,female genital mutilation
44781,application site bleeding,application site haemorrhage
44782,female sterilization,female sterilisation
44783,abortion complicated nos,abortion complicated
44784,left hemicolectomy,colectomy
44785,finger osteoarthritis,osteoarthritis
44786,hereditary hearing disorder,congenital hearing disorder
44787,tongue tip numbness of,hypoaesthesia oral
44788,erythema due to burn (first degree) of multiple specified sites,burns first degree
44789,male sterilization,male sterilisation
44790,swayback,lordosis
44791,burning rectal,anorectal discomfort
44792,neutrophil count abnormal nos,neutrophil count abnormal
44793,hodgkin's disease nodular sclerosis stage i subdiaphragmatic,hodgkin's disease nodular sclerosis stage i
44794,ventricular bigeminy,ventricular extrasystoles
44795,gram-negative bacterial infection nos,bacterial infection
44796,rubeola antibodies nos,measles antibody
44797,costoclavicular syndrome,thoracic outlet syndrome
44798,plasmodium infection,malaria
44799,maroteaux-lamy syndrome,mucopolysaccharidosis vi
44800,stevens johnson syndrome,stevens-johnson syndrome
44801,malignant neoplasm of major salivary glands stage i,salivary gland cancer stage i
44802,stress symptoms,stress
44803,distended coronary artery,coronary artery dilatation
44804,borderline ovarian tumor,borderline ovarian tumour
44805,headache vasomotor,cluster headache
44806,"tuberculosis of ear, confirmed by bacterial culture",ear tuberculosis
44807,salmonella bacteremia,salmonella bacteraemia
44808,adnexectomy,salpingo-oophorectomy
44809,secondary substernal goiter,goitre
44810,unspecified pulmonary tuberculosis,pulmonary tuberculosis
44811,anna-1,anti-neuronal antibody
44812,radial head fracture,radius fracture
44813,supraventricular premature beats,supraventricular extrasystoles
44814,aortic thoracic aneurysm extension,aortic aneurysm
44815,shoulder muscle stiffness,musculoskeletal stiffness
44816,epidermal inclusion cyst,dermal cyst
44817,infection via vaccinated person,infection via vaccinee
44818,unspecified vitamin a deficiency,vitamin a deficiency
44819,obstructive hydrocephalus,hydrocephalus
44820,serum glucose decreased,blood glucose decreased
44821,x-ray of cervical spine abnormal,spinal x-ray abnormal
44822,maxillary sinus retention cyst,paranasal cyst
44823,briquets syndrome,somatic symptom disorder
44824,doppler studies,ultrasound doppler
44825,arthralgia of temporomandibular joint,temporomandibular joint syndrome
44826,dedifferentiated chondrosarcoma metastatic,chondrosarcoma metastatic
44827,focal onset impaired awareness seizure,focal dyscognitive seizures
44828,cyanosis peripheral,cyanosis
44829,"hypertensive renal disease, unspecified, without mention of renal failure",hypertensive nephropathy
